Failure type	|Probe	|Usage	|Node Name	|Device Name	|Date/Time	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080318	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080318	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080319	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080319	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080320	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080320	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080330	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080330	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080332	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080332	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080333	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080333	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080334	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080334	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080335	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080335	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080336	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080336	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080343	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080343	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080344	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080344	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080345	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080345	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080355	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080355	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080356	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080356	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080357	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080357	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080358	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080358	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080358	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080358	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080359	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080359	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080407	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080407	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080408	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080408	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080409	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080409	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080410	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080410	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080411	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080411	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080411	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080411	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080412	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080412	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080412	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080412	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080420	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080420	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080421	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080421	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080422	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080422	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080423	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080423	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080424	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080424	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080431	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080431	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080432	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080432	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080433	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080433	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080434	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080434	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080435	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080435	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080448	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080448	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080449	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080449	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080450	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080450	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080450	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080450	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917080451	|
Analog Failure	|P598	|1	|UNNAMED_48_C_I261_A	|3	|170917080451	|
Analog Failure	|P407	|1	|UNNAMED_39_BYG22D_I162_C	|tr4	|170917080633	|
Analog Failure	|P413	|1	|UNNAMED_39_C_I161_B	|tr4	|170917080633	|
Analog Failure	|P793	|1	|24V_SMPS_SENSE	|tr4	|170917081245	|
Analog Failure	|P268	|1	|SMPS_SENSE_DRAIN	|tr4	|170917081245	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917081759	|
Analog Failure	|P493	|1	|UNNAMED_46_C_I261_A	|3	|170917081759	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917081945	|
Analog Failure	|P493	|1	|UNNAMED_46_C_I261_A	|3	|170917081945	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917084827	|
Analog Failure	|P461	|1	|UNNAMED_46_10MQ040N_I407_A	|3	|170917084827	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917084827	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917084827	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917084827	|
Analog Failure	|P564	|1	|UNNAMED_48_10MQ040N_I405_A	|3	|170917084827	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917084930	|
Analog Failure	|P461	|1	|UNNAMED_46_10MQ040N_I407_A	|3	|170917084930	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917084930	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917084930	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917084941	|
Analog Failure	|P564	|1	|UNNAMED_48_10MQ040N_I405_A	|3	|170917084941	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085036	|
Analog Failure	|P461	|1	|UNNAMED_46_10MQ040N_I407_A	|3	|170917085036	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085036	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085036	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085043	|
Analog Failure	|P564	|1	|UNNAMED_48_10MQ040N_I405_A	|3	|170917085043	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085251	|
Analog Failure	|P461	|1	|UNNAMED_46_10MQ040N_I407_A	|3	|170917085251	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085251	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085251	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085258	|
Analog Failure	|P564	|1	|UNNAMED_48_10MQ040N_I405_A	|3	|170917085258	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085331	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085331	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085332	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085332	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085341	|
