 A2ADB1        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails     816/2076 Selected Drills           2-Jun-2015 14:05
                        816 Nails,  696 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$365       0.350     6.575   1  A6   (B)  #644  UNNAMED_36_R_I89_B V VIA .
$366       1.925     7.775   1  B7   (B)  #604  UNNAMED_36_REF02_I76_VOUT V VIA .
$367       1.700     7.925   1  B7   (B)  #403  UNNAMED_37_BC817_I56_B V VIA .
$368       1.280     7.675   1  B7   (B)  #404  UNNAMED_37_BC817_I56_C V VIA .
$369       1.600     7.925   1  B7   (B)  #405  UNNAMED_37_BC817_I56_E V VIA .
$370       0.600     7.975   1  A7   (B)  #473  UNNAMED_37_C_I7_A V VIA .
$371       0.274     7.161   1  A6   (B)  #469  UNNAMED_37_C_I21_A V VIA .
$372       0.500     7.825   1  A7   (B)  #491  UNNAMED_37_C_I29_A V VIA .
$373       1.280     7.975   1  B7   (B)  #445  UNNAMED_37_C_I59_A V VIA .
$374       1.925     7.975   1  B7   (B)  #446  UNNAMED_37_C_I59_B V VIA .
$375       2.275     7.725   1  B7   (B)  #461  UNNAMED_37_C_I69_A V VIA .
$376       1.280     7.775   1  B7   (B)  #513  UNNAMED_37_IL300_I13_A V VIA .
$377       0.725     8.050   1  A7   (B)  #514  UNNAMED_37_IL300_I13_A2 V VIA .
$378       0.350     7.825   1  A7   (B)  #614  UNNAMED_37_R_I11_A V VIA .
$379       0.425     8.000   1  A7   (B)  #643  UNNAMED_37_R_I11_B V VIA .
$380       0.350     7.300   1  A6   (B)  #637  UNNAMED_37_R_I18_A V VIA .
$381       0.850     7.825   1  A7   (B)  #630  UNNAMED_37_R_I22_B V VIA .
$382       0.775     7.686   1  A7   (B)  #634  UNNAMED_37_R_I23_B V VIA .
$383       0.650     7.825   1  A7   (B)  #650  UNNAMED_37_R_I24_B V VIA .
$384       0.575     7.625   1  A7   (B)  #625  UNNAMED_37_R_I28_B V VIA .
$385       1.560     7.700   1  B7   (B)  #659  UNNAMED_37_R_I60_B V VIA .
$386       2.075     7.625   1  B7   (B)  #645  UNNAMED_37_R_I64_B V VIA .
$387       1.000     5.550   1  A5   (B)  #391  UNNAMED_38_BAT54S_I35_A1 V VIA .
$388       1.000     5.950   1  A5   (B)  #460  UNNAMED_38_C_I41_A V VIA .
$389       1.225     5.900   1  A5   (B)  #393  UNNAMED_38_C_I41_B V VIA .
$390       1.400     5.575   1  B5   (B)  #459  UNNAMED_38_C_I44_A V VIA .
$391       1.575     5.125   1  B5   (B)  #533  UNNAMED_38_LM339A_I72_NIN V VIA .
$392       1.425     5.125   1  B5   (B)  #535  UNNAMED_38_LM339A_I72_PIN V VIA .
$393       1.575     5.225   1  B5   (B)  #536  UNNAMED_38_LM339A_I73_NIN V VIA .
$394       1.575     5.325   1  B5   (B)  #538  UNNAMED_38_LM339A_I73_PIN V VIA .
$395       1.225     5.800   1  A5   (B)  #656  UNNAMED_38_R_I17_B V VIA .
$396       1.400     5.675   1  B5   (B)  #613  UNNAMED_38_R_I18_A V VIA .
$397       1.225     5.700   1  A5   (B)  #612  UNNAMED_38_R_I19_B V VIA .
$398       1.275     4.200   1  B4   (B)  #92   UNNAMED_38_R_I69_B V VIA .
$399       1.175     4.400   1  A4   (B)  #91   UNNAMED_38_R_I105_B V VIA .
$400       1.575     5.600   1  B5   (B)  #675  UNNAMED_38_TL084B_I89_NIN V VIA .
$401       1.575     5.900   1  B5   (B)  #676  UNNAMED_38_TL084B_I91_NIN V VIA .
$402       0.825     1.625   1  A2   (B)  #336  UNNAMED_39_10MQ040N_I229_A V VIA .
$403       0.925     1.625   1  A2   (B)  #337  UNNAMED_39_10MQ040N_I229_C V VIA .
$404       7.920     1.023   1  G1   (B)  #325  UNNAMED_39_10MQ040N_I309_A V PIN C249.1
$405       1.985     2.850   1  B3   (B)  #418  UNNAMED_39_BYG22D_I127_A V VIA .
$406       2.675     2.900   1  C3   (B)  #328  UNNAMED_39_BYG22D_I127_C V VIA .
$407       1.995     1.880   1  B2   (B)  #419  UNNAMED_39_BYG22D_I162_C V PIN TR4.5
$408       1.400     2.691   1  B3   (B)  #422  UNNAMED_39_BYG22D_I283_A V VIA .
$409       1.405     2.077   1  B2   (B)  #423  UNNAMED_39_BYG22D_I285_A V PIN TR4.3
$410       1.575     2.375   1  B2   (B)  #421  UNNAMED_39_BYG22D_I285_C V VIA .
$411       1.985     2.950   1  B3   (B)  #454  UNNAMED_39_C_I156_B V VIA .
$412       2.400     2.450   1  B2   (B)  #487  UNNAMED_39_C_I158_B V VIA .
$413       2.400     1.900   1  B2   (B)  #486  UNNAMED_39_C_I161_B V VIA .
$414       2.450     2.975   1  B3   (B)  #457  UNNAMED_39_C_I164_B V VIA .
$415       1.985     2.750   1  B3   (B)  #69   UNNAMED_39_C_I178_A V VIA .
$416       2.335     2.900   1  B3   (B)  #453  UNNAMED_39_C_I178_B V VIA .
$417       0.300     2.775   1  A3   (B)  #485  UNNAMED_39_C_I238_A V VIA .
$418       0.300     2.475   1  A2   (B)  #458  UNNAMED_39_C_I239_A V VIA .
